date,location,text
2022-01-29 18:28:00,"b'Madrid, Espa\xc3\xb1a'","b'La vacuna que el franquismo no quiso distribuir: ""No nos la dieron y estamos con par\xc3\xa1lisis de por vida"" https://t.co/Ew0HVftHzC v\xc3\xada @La_SER'"
2022-01-29 18:27:55,"b'Toledo, Espa\xc3\xb1a'",b'#Portada El 60% de menores de 12 a\xc3\xb1os de #CastillaLaMancha ya tienen inoculada la primera dosis de la vacuna @garciapage @jfdezsanz @Guijarrojl @Blanca_CLM @jaregatero @RafaPerezagua @Sergio_GP @fmora20158 @Diana_lopezgo @soyJosePrensa @crismaestre https://t.co/fOkdAXuemq @24clm'
2022-01-29 18:27:10,"b'Regi\xc3\xb3n de Murcia, Espa\xc3\xb1a'","b'@ivaan_rmcf Por curiosidad, \xc2\xbfalguna de las 3 vacunas ha sido puesta en un recinto deportivo?'"
2022-01-29 18:26:13,"b'M\xc3\xa1laga, Espa\xc3\xb1a'","b'@EricTopol @OurWorldInData Pa\xc3\xadses con m\xc3\xa1s altas cotas de vacunaci\xc3\xb3n y pauta completa tienen las datos mas altos de contagios y de ingresos en UCI. No me dir\xc3\xa1 que los contagiados y los ingresos UCI son todos de no vacunados \xc2\xbfverdad? Omicrom es leve, tengas o no tengas vacunas. Y los ni\xc3\xb1os no las necesitan.'"
2022-01-29 18:25:17,"b'Sevilla, Espa\xc3\xb1a'",b'@DiegoluisCL El pinchazo de la vacuna? O un plomazo de Paco? Que ta pajao?!'
2022-01-27 23:59:34,b'Las Am\xc3\xa9ricas | Espa\xc3\xb1a',b'Fighting Stigma : Vacunas Contra El Vih Mercado Estrategias de impulso comercial y an\xc3\xa1lisis de impacto de ...: La siguiente parte de este informe Vacunas Contra El Vih ofrece un estudio comparativo de los actores influyentes del mercado. En el suministro\xe2\x80\xa6 https://t.co/jlBaBqCEtZ'
2022-01-27 23:57:30,"b'BCN, Valencia,Palma, Espa\xc3\xb1a'",b'Las vacunas hacen milagros https://t.co/R0VWyCqgNU'
2022-01-27 23:57:19,"b'Zaragoza,Espa\xc3\xb1a'","b'@pambuhl @bizitasun @AnbalMuoz19 @DoriToribio Hemos llegado a un punto de tal estupidez, q dudar de una vacuna es dudar de la ciencia en general, no sepuede ser m\xc3\xa1s borrego. Se puede confiar en muchos medicamentos, y en este en concreto no. Como tildar a alguien de antifutbol xq diga q un partido es malo.'"
2022-01-27 23:53:01,b'Espa\xc3\xb1a/USA/Dub\xc3\xa1i',"b'@Zhoram @Oscar31953617 @Charkito4 por que no muri\xc3\xb3 nadie cuando no hab\xc3\xadan vacunas?? y ahora de repente muere mont\xc3\xb3n de gente los que mueren vacunados son muchos mas pero no le haces publicidad, si estas feliz con tu vacunas bien por ti te regalo las m\xc3\xadas.'"
2022-01-27 23:51:49,b'Barcelona (Espa\xc3\xb1a).',"b'@SativusRaphanus @EsteveBoix @Jaque100cia @AdryRo87 @fenris1234 @LeilaYLab @albertodtra @ezikusia @rochipacitos @nati_alva @infobae Busca en Google, ""Cu\xc3\xa1nto tiempo se necesita para aprobar una vacuna nueva"". Encuentra, 1.400.000 de resultados, pincha en la p\xc3\xa1gina 11, te sale lo siguente, de hecho, la 10 y la 11, desaparecen y la mayor\xc3\xada, desde el 2019/20...y muestra, 89 de 1.400.000, \xc2\xbfEl resto? https://t.co/ZBzASDTL80'"
2022-01-27 23:51:44,"b'Catalu\xc3\xb1a, Espa\xc3\xb1a'",b'@Energiasagradas Yo vivo en Espa\xc3\xb1a. Van a prohibir la vacuna? O la recomendaci\xc3\xb3n de la misma? O los pasaportes covid? Porque en Italia acaban de aprobar la obligatoriedad y la gente no vacunada solo podr\xc3\xa1 adquirir productos de primera necesidad'
2022-01-27 23:51:27,b' Espa\xc3\xb1a',"b'El ""covid""era la disculpa para la vacuna, todo organizado por las \xc3\xa9lites y las far-mafia-c\xc3\xa9uticas https://t.co/GD2AO0v9hq'"
2022-01-27 23:51:06,"b'M\xc3\xa1laga, Espa\xc3\xb1a'",b'@navedelmisterio Dr. Gaona tener &gt;40.000 en IGG en un test de anal\xc3\xadtica de sangre cuantitativo despu\xc3\xa9s de 8 meses de la vacuna. \xc2\xbfEs inmunidad? Por favor responder'
2022-01-27 23:50:48,b'Espa\xc3\xb1a/USA/Dub\xc3\xa1i',"b'@Zhoram @Oscar31953617 @Charkito4 si es que esa palabra las has usado tu no yo....quien ha insultado eres tu yo solo te dije ap\xc3\xb3rtame pruebas y aun las estoy esperando, opero sabes que que paso disfruta tus vacunas p\xc3\xa1satelo bien y que te den.'"
2022-01-27 23:50:38,"b'Galicia, Espa\xc3\xb1a'",b'Me vacuno\n4h m\xc3\xa1s tarde\nMi labio: *modo botox*\n\nLiteral se me hinch\xc3\xb3 y se me puso rojisimo\nO sea ahora est\xc3\xa1 mejor aunque a\xc3\xban pica\nNo s\xc3\xa9 si me di\xc3\xb3 reacci\xc3\xb3n la vacuna o el ramen pero otra cosa no me explico qu\xc3\xa9 ser\xc3\xada https://t.co/MUFjz8qgXp'
2022-01-27 23:49:08,b'Espa\xc3\xb1a',b'Las muertes s\xc3\xbabitas card\xc3\xadacas entre los jugadores de la FIFA aumentaron un 500 % en 2021 tras el lanzamiento de las vacunas Covid https://t.co/3fkPPCpkTA'
2022-01-27 23:48:14,b'desde el espacio',"b'N u n c a  j a m \xc3\xa1 s,  s e  vacune contra #\xc3\xb3micron\nY  n u n c a  j a m \xc3\xa1 s, vacune a grandes porciones de la poblaci\xc3\xb3n con una vacuna  p e r m e a b l e, en medio de una #pandemia. \n \nDr. Geert Vanden Bossche\nVacun\xc3\xb3logo - vir\xc3\xb3logo\n #FelizJueves https://t.co/dff0kyEDhb'"
2022-01-27 23:47:23,"b'Andaluc\xc3\xada, Espa\xc3\xb1a'","b'@Eove Cu\xc3\xa1nto lo siento. Disculpa pues.  Espero que est\xc3\xa9s mejor tu y los tuyos. As\xc3\xad que vacuna y COVID a la vez, qu\xc3\xa9 ego\xc3\xadsta. \xf0\x9f\xa4\xaa Cu\xc3\xaddate mucho.'"
